num,source_path,classification,proposed_bucket,final_bucket
54,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_BROKER_REFERENCE_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
55,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_D16_IMPLEMENTATION_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
56,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DECISION_TEMPLATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","06-TEMPLATES","06-TEMPLATES"
57,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DECISION_TEMPLATE_STANDARD.md","PROMOTE_TO_CANONICAL_GOVERNANCE","06-TEMPLATES","06-TEMPLATES"
58,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DESIGN_CONTRACTS_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","05-CONTRACTS","05-CONTRACTS"
59,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DIRECTIVE_AUTH_FIX.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
60,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DIRECTIVE_FOOTER_STRATEGY.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
61,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DIRECTIVE_GOVERNANCE_STRENGTHENING.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
62,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DIRECTIVE_TABLES_REACT.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
63,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DIRECTIVE_TABLES_V2_FINAL.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
64,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DIRECTIVE_VALIDATION_FINAL.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
65,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DIRECTIVE_VALIDATION_HYBRID.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
66,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DOCS_INTEGRITY_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
67,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_DRIFT_FIX_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
68,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_GOVERNANCE_PROCEDURES_V2.md","PROMOTE_TO_CANONICAL_GOVERNANCE","04-PROCEDURES","04-PROCEDURES"
69,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_HEADER_UNIFICATION_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
70,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_INFRASTRUCTURE_RETROFIT_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
71,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_KNOWLEDGE_PROMOTION_PROTOCOL.md","PROMOTE_TO_CANONICAL_GOVERNANCE","03-PROTOCOLS","03-PROTOCOLS"
72,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_MANDATE_NAMING_CONVENTION.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
73,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_MANDATE_SINGULAR_NAMING.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
74,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_P0_RED_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
75,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_PHASE_2_CLOSURE_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
76,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_PHASE_2_EXECUTION_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
77,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_PHASE_2_FULL_KICKOFF_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
78,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_PHASE_2_FULL_RELEASE_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
79,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_PHASE_2_KICKOFF_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
80,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_PHASE_2_REFINED_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
81,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_PHASE_2_STEP_1_CLOSURE_DIRECTIVE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
82,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_PHASE_2_UNIFIED_CLOSURE_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
83,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_POLICY_HYBRID_SCRIPTS.md","PROMOTE_TO_CANONICAL_GOVERNANCE","02-POLICIES","02-POLICIES"
84,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_PRE_CODING_MAPPING_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
85,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_TRADING_ACCOUNTS_RED_FIX_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
86,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_VERDICT_PAGE_TEMPLATE_AND_FACTORY.md","PROMOTE_TO_CANONICAL_GOVERNANCE","06-TEMPLATES","06-TEMPLATES"
87,"_COMMUNICATION/_Architects_Decisions/ARCHITECT_WORK_PLAN_APPROVAL.md","PROMOTE_TO_CANONICAL_GOVERNANCE","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
88,"_COMMUNICATION/_Architects_Decisions/BATCH_2_5_COMPLETIONS_MANDATE.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
89,"_COMMUNICATION/_Architects_Decisions/GATE_0_GATE_1_CANONICAL_DESIGN_GATES_LOCK.md","PROMOTE_TO_CANONICAL_GOVERNANCE","09-OTHER_GOVERNANCE","01-FOUNDATIONS"
90,"_COMMUNICATION/_Architects_Decisions/MISSION_DIRECTIVE_90_02_FINAL.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
91,"_COMMUNICATION/_Architects_Decisions/PHOENIX_MASTER_SSM_v1.0.0.md","PROMOTE_TO_CANONICAL_GOVERNANCE","01-FOUNDATIONS","01-FOUNDATIONS"
92,"_COMMUNICATION/_Architects_Decisions/PHOENIX_MASTER_WSM_v1.0.0.md","PROMOTE_TO_CANONICAL_GOVERNANCE","01-FOUNDATIONS","01-FOUNDATIONS"
93,"_COMMUNICATION/_Architects_Decisions/TEAM_70_DIRECTIVE_NARRATIVE_PRODUCTION.md","PROMOTE_TO_CANONICAL_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS","07-DIRECTIVES_AND_DECISIONS"
94,"_COMMUNICATION/_POC_ARTIFACT_SAMPLE/TEAM_10_MB3A_ALERTS_GATE_KP_AND_SEAL.md","REVIEW_REQUIRED","09-OTHER_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS"
95,"_COMMUNICATION/_POC_ARTIFACT_SAMPLE/TEAM_90_TO_TEAM_10_MB3A_ALERTS_GATE_B_PASS.md","REVIEW_REQUIRED","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
96,"_COMMUNICATION/team_10/PHOENIX_COMMAND_ADR_TEMPLATE_GOVERNANCE_ADOPTION_LOCKED.md","WORKING_OR_THREAD_ARTIFACT","06-TEMPLATES","06-TEMPLATES"
97,"_COMMUNICATION/team_10/TEAM_10_CLEAN_TABLE_PROTOCOL.md","WORKING_OR_THREAD_ARTIFACT","03-PROTOCOLS","03-PROTOCOLS"
98,"_COMMUNICATION/team_10/TEAM_10_GATEWAY_ROLE_AND_PROCESS.md","WORKING_OR_THREAD_ARTIFACT","04-PROCEDURES","04-PROCEDURES"
99,"_COMMUNICATION/team_10/TEAM_10_GATE_B_MD_SETTINGS_BLOCKED_AND_CLOSURE_REQUIREMENTS.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","07-DIRECTIVES_AND_DECISIONS"
100,"_COMMUNICATION/team_10/TEAM_10_GOVERNANCE_REFRESH_ADOPTION_CONFIRMATION.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
101,"_COMMUNICATION/team_10/TEAM_10_GOVERNANCE_RELOCK_READINESS_CONFIRMATION.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
102,"_COMMUNICATION/team_10/TEAM_10_KNOWLEDGE_PROMOTION_WORKFLOW.md","WORKING_OR_THREAD_ARTIFACT","04-PROCEDURES","04-PROCEDURES"
103,"_COMMUNICATION/team_10/TEAM_10_MASTER_TASK_LIST_PROTOCOL.md","WORKING_OR_THREAD_ARTIFACT","03-PROTOCOLS","03-PROTOCOLS"
104,"_COMMUNICATION/team_10/TEAM_10_MD_SETTINGS_GATE_B_READY_AND_ACTIVATION_PROMPTS.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
105,"_COMMUNICATION/team_10/TEAM_10_TO_ALL_TEAMS_PHOENIX_DOCUMENTATION_GOVERNANCE_ADOPTION_NOTICE.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
106,"_COMMUNICATION/team_10/TEAM_10_TO_TEAMS_20_30_50_60_MD_SETTINGS_GATE_B_PASS_UPDATE.md","WORKING_OR_THREAD_ARTIFACT","09-OTHER_GOVERNANCE","08-WORKING_VALIDATION_RECORDS"
107,"_COMMUNICATION/team_10/TEAM_10_TO_TEAM_170_SSM_CANONICAL_REPLACEMENT_ACK.md","WORKING_OR_THREAD_ARTIFACT","01-FOUNDATIONS","01-FOUNDATIONS"
